index,phase,x00,x01,x02,x03,x04,x05,x06,x07,x08,x09,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,keff,keff_std,ppf,score
0,LLM,0.05,0.08,0.12,0.18,0.02,0.55,0.62,0.15,0.68,0.01,0.22,0.1,0.75,0.06,0.03,0.58,0.11,0.6,0.14,0.72,0.04,1.2708749651236149,0.001691967871613371,1.1005139364572867,-67.04374825618075
1,LLM,0.1,0.82,0.15,0.9,0.08,0.5,0.75,0.12,0.7,0.02,0.35,0.05,0.88,0.09,0.04,0.65,0.2,0.78,0.18,0.92,0.06,1.2731250532461371,0.0019673666030006615,1.102550703433565,-67.15625266230685
2,LLM,0.08,0.95,0.25,0.98,0.1,0.45,0.4,0.2,0.42,0.01,0.3,0.12,0.55,0.05,0.02,0.85,0.18,0.82,0.22,0.75,0.04,1.2727875554618833,0.001856943064276883,1.1003910322541814,-73.13937777309417
3,LLM,0.12791389140308976,0.9007359277750128,0.25563037614391915,0.9765462745478559,0.048413001940306184,0.6226862613732856,0.7786099015301629,0.2582034544370649,0.7351569622096787,0.13864679133545008,0.35079135693112734,0.07729389950000548,0.7890942657510271,0.15521713906500934,0.12606696918731267,0.6260850695348141,0.23313815957133638,0.6392457269035622,0.3423086658758084,0.8179221615115708,0.076052248493247,1.272707169333063,0.0016303568436496461,1.1031903008884187,-73.13535846665314
4,LLM,0.15,0.8,0.2,0.92,0.1,0.5,0.68,0.18,0.75,0.02,0.38,0.06,0.82,0.08,0.03,0.7,0.15,0.78,0.12,0.88,0.04,1.2759124348433717,0.002121294478272491,1.127265908806484,-67.29562174216858
5,LLM,0.12,0.92,0.18,0.86,0.05,0.6,0.78,0.2,0.65,0.01,0.32,0.09,0.72,0.07,0.02,0.68,0.28,0.74,0.25,0.8,0.04,1.269472792291587,0.0017909417419251757,1.1031379955458462,-66.97363961457934
6,LLM,0.78,0.82,0.45,0.88,0.52,0.11,0.85,0.91,0.05,0.79,0.61,0.84,0.87,0.48,0.72,0.22,0.93,0.55,0.86,0.68,0.8,1.273172985482561,0.0015440646164881597,1.117153148636794,-67.15864927412805
7,LLM,0.15,0.94,0.28,0.97,0.32,0.85,0.89,0.1,0.08,0.96,0.42,0.99,0.71,0.45,0.92,0.11,0.98,0.38,0.95,0.51,0.87,1.2729403142929812,0.0015093632723777203,1.1129401194508313,-73.14701571464906
8,LLM,0.88,0.65,0.05,0.72,0.8,0.92,0.58,0.69,0.02,0.75,0.63,0.86,0.78,0.55,0.94,0.2,0.68,0.83,0.71,0.66,0.9,1.2701057250564662,0.002166936568934369,1.1022538215173359,-73.00528625282331
9,LLM,0.45,0.91,0.32,0.78,0.55,0.83,0.61,0.74,0.04,0.86,0.69,0.89,0.76,0.58,0.81,0.18,0.96,0.44,0.85,0.7,0.73,1.2687530825659015,0.0022142917751782933,1.104974355564374,-60.93765412829507
10,LLM,0.62,0.75,0.12,0.89,0.41,0.68,0.82,0.54,0.06,0.77,0.71,0.84,0.93,0.37,0.65,0.15,0.79,0.59,0.88,0.74,0.69,1.2704956761934254,0.002175577642294503,1.1234240995205718,-67.02478380967128
11,LLM,0.3392472563951304,0.9524988972544709,0.24924559095483195,0.8352038591968324,0.4745537221524496,0.5269465350416478,0.7655908193211725,0.5615839118227931,0.0,0.5736479505402929,0.6940166800515966,0.7463994737501092,0.9194818943618404,0.5288639708691449,0.48594791451635627,0.07483069229927056,0.9145883270598343,0.48880001096576214,0.687049883155618,0.8904786483908297,0.7220757742570652,1.2687530825659012,0.0022142917751636956,1.1049743555643745,-60.937654128295065
12,LLM,0.05,0.88,0.12,0.91,0.08,0.15,0.03,0.89,0.02,0.04,0.01,0.85,0.1,0.92,0.06,0.87,0.11,0.09,0.86,0.13,0.07,1.2729718864463047,0.002088703586205137,1.1151616498614767,-79.14859432231523
13,LLM,0.25,0.82,0.3,0.78,0.35,0.2,0.85,0.45,0.15,0.08,0.12,0.79,0.4,0.76,0.42,0.77,0.48,0.32,0.73,0.55,0.38,1.27279503983135,0.0018785858145670136,1.1058764200531097,-73.1397519915675
14,LLM,0.7,0.85,0.65,0.9,0.6,0.55,0.75,0.92,0.5,0.03,0.1,0.88,0.72,0.93,0.68,0.94,0.78,0.81,0.84,0.87,0.8,1.2735305514690818,0.0019200089553595696,1.1093993197006236,-73.1765275734541
15,LLM,0.2531651445609781,0.7805618472838575,0.18801242336251262,0.8236712029297237,0.24050950984221162,0.14116569262218454,0.8617575473407202,0.4088888651450613,0.06645968527486712,0.009221045939622918,0.17567569237250977,0.9019063283947191,0.47983654458458935,1.0,0.4307204716637998,0.8305230939984067,0.35339768596343457,0.3433855731171918,0.7693529452344837,0.49923213699101576,0.3393951600470096,1.2693813490869588,0.002082550470704584,1.1090658333378893,-84.96906745434794
16,LLM,0.3976749574078387,0.9374441712717754,0.3461370829366677,0.8252125021653701,0.4285403529537805,0.10963328047424531,0.6570513748825613,0.5181066080796422,0.32762080235653646,0.06425721341631264,0.25503291431943315,0.8262052544931162,0.5464269918301758,0.8272425323016614,0.47538927489536836,0.8974913949484489,0.5279325678653554,0.4265507462719733,0.7030747099355625,0.5214475807112496,0.3541334163079693,1.2727950398313428,0.001878585814552512,1.1058764200531097,-73.13975199156714
17,LLM,0.15269465863990594,0.8001177603711269,0.12956036337702706,0.9082042152492278,0.09264732700184306,0.0,0.9220813275971489,0.3850043943606599,0.0,0.0,0.10570242592465998,0.7764720590547787,0.3890533317803929,1.0,0.40792482640111544,0.8641599580041734,0.710377145671655,0.5790998086806747,0.6826815993536494,0.5130430971668051,0.32904134753450087,1.2693813490869557,0.002082550470713518,1.1090658333378893,-84.96906745434778
